Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_1/rx_axis_tdata[63:0],axi_stream_gen_mon_1/rx_axis_tkeep[7:0],axi_stream_gen_mon_1/rx_axis_tvalid,axi_stream_gen_mon_1/rx_axis_tlast,axi_stream_gen_mon_1/rx_axis_tuser,axi_stream_gen_mon_1/rx_axis_tready,axi_stream_gen_mon_1/tx_axis_tdata[63:0],axi_stream_gen_mon_1/tx_axis_tkeep[7:0],axi_stream_gen_mon_1/tx_axis_tvalid,axi_stream_gen_mon_1/tx_axis_tlast,axi_stream_gen_mon_1/tx_axis_tuser,axi_stream_gen_mon_1/tx_axis_tready_1,axi_stream_gen_mon_1/tx_axis_tdata_lb[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_lb[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_lb,axi_stream_gen_mon_1/tx_axis_tlast_lb,axi_stream_gen_mon_1/tx_axis_tuser_lb,axi_stream_gen_mon_1/rx_axis_tready_lb,axi_stream_gen_mon_1/tx_axis_tdata_g[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_g[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_g,axi_stream_gen_mon_1/tx_axis_tlast_g,axi_stream_gen_mon_1/tx_axis_tuser_g,axi_stream_gen_mon_1/tx_axis_tready
971,971,0,bffcbffcbffcbffc,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1
972,972,0,bffcbffcbffcbffc,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1
973,973,0,bffcbffcbffcbffc,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1
974,974,0,bffcbffcbffcbffc,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c003c003c003c003,ff,1,0,0,1
975,975,0,bffcbffcbffcbffc,ff,1,0,0,1,c003c003c003c003,07,1,1,0,1,0000333300000000,ff,1,0,0,1,c003c003c003c003,07,1,1,0,1
976,976,0,006c31d5f3fcbffc,07,1,1,1,1,0000222200000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,1,0,0,1
977,977,0,5555550000000000,01,0,0,0,1,c0047d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c0047d0011110000,ff,1,0,0,1
978,978,0,5555550000000000,01,0,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,07,1,1,0,1,c004c004c004c004,ff,1,0,0,1
979,979,0,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
980,980,0,bffd7d0011110000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,0
981,981,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,0
982,982,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,0
983,983,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
984,984,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
985,985,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
986,986,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
987,987,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
988,988,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
989,989,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
990,990,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
991,991,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
992,992,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
993,993,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
994,994,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
995,995,0,bffdbffdbffdbffd,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,ff,1,0,0,1
996,996,0,002cc7c7bbfdbffd,07,1,1,1,1,c004c004c004c004,07,1,1,0,1,0000333300000000,ff,1,0,0,1,c004c004c004c004,07,1,1,0,1
997,997,0,0000000000000000,01,0,0,0,1,0000222200000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,1,0,0,1
998,998,0,0000000000000000,01,0,0,0,1,c0057d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c0057d0011110000,ff,1,0,0,1
999,999,0,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,07,1,1,0,1,c005c005c005c005,ff,1,0,0,1
1000,1000,0,bffe7d0011110000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1001,1001,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,0
1002,1002,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,0
1003,1003,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1004,1004,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1005,1005,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1006,1006,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1007,1007,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1008,1008,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1009,1009,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1010,1010,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1011,1011,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1012,1012,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1013,1013,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1014,1014,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1015,1015,0,bffebffebffebffe,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,ff,1,0,0,1
1016,1016,0,00edddf163febffe,07,1,1,1,1,c005c005c005c005,07,1,1,0,1,0000333300000000,ff,1,0,0,1,c005c005c005c005,07,1,1,0,1
1017,1017,0,0000000000000000,07,0,0,0,1,0000222200000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,1,0,0,1
1018,1018,0,0000000000000000,07,0,0,0,1,c0067d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c0067d0011110000,ff,1,0,0,1
1019,1019,0,0000000000000000,07,0,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,07,1,1,0,1,c006c006c006c006,ff,1,0,0,1
1020,1020,0,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,1
1021,1021,0,bfff7d0011110000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,0
1022,1022,0,bfffbfffbfffbfff,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,c006c006c006c006,ff,1,0,0,0
