Sample in Buffer,Sample in Window,TRIGGER,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tlast,Interface_(i5:s0)_(s_axis_tx_0_1)[2:0],Interface_(i5:s1)_(mac_phy_ch0_m_axis_rx)[2:0],Interface_(i5:s2)_(s_axis_tx_1_1)[2:0],Interface_(i5:s3)_(mac_phy_ch1_m_axis_rx)[2:0],T_Channel_(i5:s0)_(s_axis_tx_0_1)[2:0],T_Channel_(i5:s1)_(mac_phy_ch0_m_axis_rx)[2:0],T_Channel_(i5:s2)_(s_axis_tx_1_1)[2:0],T_Channel_(i5:s3)_(mac_phy_ch1_m_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
666,666,0,fa81fa81fa81fa81,ff,0,1,1,0,97f997f997f997f9,ff,0,1,0,97fc97fc97fc97fc,ff,0,1,1,0,fa7dfa7dfa7dfa7d,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
667,667,0,fa81fa81fa81fa81,ff,0,1,1,0,97f997f997f997f9,ff,0,1,0,97fc97fc97fc97fc,ff,0,1,1,0,fa7dfa7dfa7dfa7d,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
668,668,0,fa81fa81fa81fa81,ff,0,1,1,0,00a95d6cd4f997f9,07,1,1,1,97fc97fc97fc97fc,ff,0,1,1,0,fa7dfa7dfa7dfa7d,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Last Stream","Stream Beat","Stream Beat"
669,669,0,fa81fa81fa81fa81,ff,0,1,1,0,0000000000000000,07,0,0,0,97fc97fc97fc97fc,ff,0,1,1,0,fa7dfa7dfa7dfa7d,ff,0,1,0,"Active","_","Active","Active","Stream Beat","_","Stream Beat","Stream Beat"
670,670,0,fa81fa81fa81fa81,ff,0,1,1,0,0000000000000000,07,0,0,0,97fc97fc97fc97fc,ff,0,1,1,0,fa7dfa7dfa7dfa7d,ff,0,1,0,"Active","_","Active","Active","Stream Beat","_","Stream Beat","Stream Beat"
671,671,0,fa81fa81fa81fa81,ff,0,1,1,0,0000000000000000,07,0,0,0,97fc97fc97fc97fc,ff,0,1,1,0,b6592e7dfa7dfa7d,1f,1,1,1,"Active","_","Active","Active","Stream Beat","_","Stream Beat","Last Stream"
672,672,0,fa81fa81fa81fa81,ff,0,1,1,0,0000222200000000,ff,0,1,0,97fc97fc97fc97fc,07,0,1,1,1,0000000000000030,1f,0,0,0,"Active","Active","Active","_","Stream Beat","Stream Beat","Last Stream","_"
673,673,0,fa81fa81fa81fa81,1f,0,1,1,1,97fa7d0011110000,ff,0,1,0,0000222200000000,ff,0,1,1,0,0000000000000030,1f,0,0,0,"Active","Active","Active","_","Last Stream","Stream Beat","Stream Beat","_"
674,674,0,0000222200000000,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd7d0011110000,ff,0,1,1,0,0000000000000030,1f,0,0,0,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
675,675,0,fa824f0011110000,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,0000000000000030,1f,0,0,0,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
676,676,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,0000222200000000,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
677,677,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,0,0,fa7e4f0011110000,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
678,678,0,fa82fa82fa82fa82,ff,0,1,0,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,0,0,fa7efa7efa7efa7e,ff,0,1,0,"_","Active","_","Active","_","Stream Beat","_","Stream Beat"
679,679,0,fa82fa82fa82fa82,ff,0,1,0,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
680,680,0,fa82fa82fa82fa82,ff,0,1,0,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
681,681,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
682,682,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
683,683,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
684,684,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
685,685,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
686,686,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,fa7efa7efa7efa7e,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
687,687,0,fa82fa82fa82fa82,ff,0,1,1,0,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,2ed8337efa7efa7e,1f,1,1,1,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Last Stream"
688,688,0,fa82fa82fa82fa82,1f,0,1,1,1,97fa97fa97fa97fa,ff,0,1,0,97fd97fd97fd97fd,ff,0,1,1,0,000000000000007a,1f,0,0,0,"Active","Active","Active","_","Last Stream","Stream Beat","Stream Beat","_"
689,689,0,0000222200000000,ff,0,1,1,0,0068475a0cfa97fa,07,1,1,1,97fd97fd97fd97fd,ff,0,1,1,0,000000000000007a,1f,0,0,0,"Active","Active","Active","_","Stream Beat","Last Stream","Stream Beat","_"
690,690,0,fa834f0011110000,ff,0,1,1,0,0000000000000000,07,0,0,0,97fd97fd97fd97fd,ff,0,1,1,0,000000000000007a,1f,0,0,0,"Active","_","Active","_","Stream Beat","_","Stream Beat","_"
691,691,0,fa83fa83fa83fa83,ff,0,1,1,0,0000000000000000,07,0,0,0,97fd97fd97fd97fd,ff,0,1,1,0,0000222200000000,ff,0,1,0,"Active","_","Active","Active","Stream Beat","_","Stream Beat","Stream Beat"
692,692,0,fa83fa83fa83fa83,ff,0,1,1,0,0000000000000000,07,0,0,0,97fd97fd97fd97fd,07,0,1,1,1,fa7f4f0011110000,ff,0,1,0,"Active","_","Active","Active","Stream Beat","_","Last Stream","Stream Beat"
693,693,0,fa83fa83fa83fa83,ff,0,1,0,0,0000222200000000,ff,0,1,0,0000222200000000,ff,0,1,1,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
694,694,0,fa83fa83fa83fa83,ff,0,1,0,0,97fb7d0011110000,ff,0,1,0,97fe7d0011110000,ff,0,1,1,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
695,695,0,fa83fa83fa83fa83,ff,0,1,0,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
696,696,0,fa83fa83fa83fa83,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
697,697,0,fa83fa83fa83fa83,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,0,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
698,698,0,fa83fa83fa83fa83,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,0,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
699,699,0,fa83fa83fa83fa83,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,0,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"Active","Active","_","Active","Stream Beat","Stream Beat","_","Stream Beat"
700,700,0,fa83fa83fa83fa83,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
701,701,0,fa83fa83fa83fa83,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,fa7ffa7ffa7ffa7f,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
702,702,0,fa83fa83fa83fa83,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,a6a7387ffa7ffa7f,1f,1,1,1,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Last Stream"
703,703,0,fa83fa83fa83fa83,1f,0,1,1,1,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,0000000000000043,1f,0,0,0,"Active","Active","Active","_","Last Stream","Stream Beat","Stream Beat","_"
704,704,0,0000222200000000,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,0000000000000043,1f,0,0,0,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
705,705,0,fa844f0011110000,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,0000000000000043,1f,0,0,0,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
706,706,0,fa84fa84fa84fa84,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,0000222200000000,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
707,707,0,fa84fa84fa84fa84,ff,0,1,1,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,fa804f0011110000,ff,0,1,0,"Active","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat"
708,708,0,fa84fa84fa84fa84,ff,0,1,0,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,fa80fa80fa80fa80,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
709,709,0,fa84fa84fa84fa84,ff,0,1,0,0,97fb97fb97fb97fb,ff,0,1,0,97fe97fe97fe97fe,ff,0,1,1,0,fa80fa80fa80fa80,ff,0,1,0,"_","Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat"
710,710,0,fa84fa84fa84fa84,ff,0,1,0,0,0028b14844fb97fb,07,1,1,1,97fe97fe97fe97fe,ff,0,1,1,0,fa80fa80fa80fa80,ff,0,1,0,"_","Active","Active","Active","_","Last Stream","Stream Beat","Stream Beat"
711,711,0,fa84fa84fa84fa84,ff,0,1,1,0,5555550000000000,01,0,0,0,97fe97fe97fe97fe,ff,0,1,1,0,fa80fa80fa80fa80,ff,0,1,0,"Active","_","Active","Active","Stream Beat","_","Stream Beat","Stream Beat"
