Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_0/rx_axis_tdata[63:0],axi_stream_gen_mon_0/rx_axis_tkeep[7:0],axi_stream_gen_mon_0/rx_axis_tvalid,axi_stream_gen_mon_0/rx_axis_tlast,axi_stream_gen_mon_0/rx_axis_tuser,axi_stream_gen_mon_0/rx_axis_tready,axi_stream_gen_mon_0/tx_axis_tdata[63:0],axi_stream_gen_mon_0/tx_axis_tkeep[7:0],axi_stream_gen_mon_0/tx_axis_tvalid,axi_stream_gen_mon_0/tx_axis_tlast,axi_stream_gen_mon_0/tx_axis_tuser,axi_stream_gen_mon_0/tx_axis_tready_1,axi_stream_gen_mon_0/tx_axis_tdata_lb[63:0],axi_stream_gen_mon_0/tx_axis_tkeep_lb[7:0],axi_stream_gen_mon_0/tx_axis_tvalid_lb,axi_stream_gen_mon_0/tx_axis_tlast_lb,axi_stream_gen_mon_0/tx_axis_tuser_lb,axi_stream_gen_mon_0/rx_axis_tready_lb,axi_stream_gen_mon_0/tx_axis_tdata_g[63:0],axi_stream_gen_mon_0/tx_axis_tkeep_g[7:0],axi_stream_gen_mon_0/tx_axis_tvalid_g,axi_stream_gen_mon_0/tx_axis_tlast_g,axi_stream_gen_mon_0/tx_axis_tuser_g,axi_stream_gen_mon_0/tx_axis_tready
0,0,0,f349f349f349f349,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
1,1,0,f349f349f349f349,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
2,2,0,f349f349f349f349,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
3,3,0,f349f349f349f349,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
4,4,0,f349f349f349f349,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
5,5,0,f349f349f349f349,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
6,6,0,00db9a46af49f349,07,1,1,1,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
7,7,0,5555550000000000,01,0,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
8,8,0,5555550000000000,01,0,0,0,1,f348f348f348f348,ff,1,0,0,1,f348f348f348f348,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
9,9,0,0000222200000000,ff,1,0,0,1,009b6c54e748f348,07,1,1,0,1,009b6c54e748f348,07,1,1,0,1,0000222200000000,ff,0,0,0,1
10,10,0,f34a7d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
11,11,0,f34af34af34af34a,ff,1,0,0,1,f3497d0011110000,ff,1,0,0,1,f3497d0011110000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
12,12,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
13,13,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
14,14,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,0,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
15,15,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,0,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
16,16,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,0,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
17,17,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
18,18,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
19,19,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
20,20,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
21,21,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
22,22,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
23,23,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
24,24,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
25,25,0,f34af34af34af34a,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
26,26,0,001a8070774af34a,07,1,1,1,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
27,27,0,0000000000000000,01,0,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
28,28,0,0000000000000000,01,0,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
29,29,0,0000222200000000,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,f349f349f349f349,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
30,30,0,f34b7d0011110000,ff,1,0,0,1,00db9a46af49f349,07,1,1,0,1,00db9a46af49f349,07,1,1,0,1,0000222200000000,ff,0,0,0,1
31,31,0,f34bf34bf34bf34b,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
32,32,0,f34bf34bf34bf34b,ff,1,0,0,1,f34a7d0011110000,ff,1,0,0,1,f34a7d0011110000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
33,33,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
34,34,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
35,35,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,0,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
36,36,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,0,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
37,37,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
38,38,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
39,39,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
40,40,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
41,41,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
42,42,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
43,43,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
44,44,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
45,45,0,f34bf34bf34bf34b,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
46,46,0,005a76623f4bf34b,07,1,1,1,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
47,47,0,0000000000000000,07,0,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
48,48,0,0000000000000000,07,0,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
49,49,0,0000000000000000,07,0,0,0,1,f34af34af34af34a,ff,1,0,0,1,f34af34af34af34a,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
50,50,0,0000222200000000,ff,1,0,0,1,001a8070774af34a,07,1,1,0,1,001a8070774af34a,07,1,1,0,1,0000222200000000,ff,0,0,0,1
51,51,0,f34c7d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
52,52,0,f34cf34cf34cf34c,ff,1,0,0,1,f34b7d0011110000,ff,1,0,0,1,f34b7d0011110000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
53,53,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
54,54,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
55,55,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,0,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
56,56,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,0,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
57,57,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,0,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
58,58,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
59,59,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
60,60,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
61,61,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
62,62,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
63,63,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
64,64,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
65,65,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
66,66,0,f34cf34cf34cf34c,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
67,67,0,0043c51b864cf34c,07,1,1,1,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
68,68,0,5555550000000000,01,0,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
69,69,0,5555550000000000,01,0,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
70,70,0,0000222200000000,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,f34bf34bf34bf34b,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
71,71,0,f34d7d0011110000,ff,1,0,0,1,005a76623f4bf34b,07,1,1,0,1,005a76623f4bf34b,07,1,1,0,1,0000222200000000,ff,0,0,0,1
72,72,0,f34df34df34df34d,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
73,73,0,f34df34df34df34d,ff,1,0,0,1,f34c7d0011110000,ff,1,0,0,1,f34c7d0011110000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
74,74,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
75,75,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
76,76,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,0,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
77,77,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,0,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,0
78,78,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
79,79,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
80,80,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
81,81,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
82,82,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
83,83,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
84,84,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
85,85,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
86,86,0,f34df34df34df34d,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
87,87,0,00033309ce4df34d,07,1,1,1,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
88,88,0,0000000000000000,07,0,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
89,89,0,0000000000000000,07,0,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
90,90,0,0000000000000000,07,0,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,f34cf34cf34cf34c,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
91,91,0,0000222200000000,ff,1,0,0,1,0043c51b864cf34c,07,1,1,0,1,0043c51b864cf34c,07,1,1,0,1,0000222200000000,ff,0,0,0,1
92,92,0,f34e7d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
93,93,0,f34ef34ef34ef34e,ff,1,0,0,1,f34d7d0011110000,ff,1,0,0,1,f34d7d0011110000,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
94,94,0,f34ef34ef34ef34e,ff,1,0,0,1,f34df34df34df34d,ff,1,0,0,1,f34df34df34df34d,ff,1,0,0,1,0000222200000000,ff,0,0,0,1
