Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/n_0_0,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tready
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
806,806,0,e3d2e3d2e3d2e3d2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
807,807,0,e3d2e3d2e3d2e3d2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
808,808,0,e3d2e3d2e3d2e3d2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
809,809,0,e3d2e3d2e3d2e3d2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
810,810,0,e3d2e3d2e3d2e3d2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
811,811,0,e3d2e3d2e3d2e3d2,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
812,812,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
813,813,0,e3d34f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,ff,1,0,0,1
814,814,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47de47de47de47d,1f,1,1,0,1
815,815,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
816,816,0,e3d3e3d3e3d3e3d3,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47e4f0011110000,ff,1,0,0,1
817,817,0,e3d3e3d3e3d3e3d3,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,0
818,818,0,e3d3e3d3e3d3e3d3,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,0
819,819,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,0
820,820,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
821,821,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
822,822,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
823,823,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
824,824,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
825,825,0,e3d3e3d3e3d3e3d3,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
826,826,0,e3d3e3d3e3d3e3d3,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
827,827,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
828,828,0,e3d44f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,ff,1,0,0,1
829,829,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47ee47ee47ee47e,1f,1,1,0,1
830,830,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
831,831,0,e3d4e3d4e3d4e3d4,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47f4f0011110000,ff,1,0,0,1
832,832,0,e3d4e3d4e3d4e3d4,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,0
833,833,0,e3d4e3d4e3d4e3d4,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,0
834,834,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,0
835,835,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
836,836,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
837,837,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
838,838,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
839,839,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
840,840,0,e3d4e3d4e3d4e3d4,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
841,841,0,e3d4e3d4e3d4e3d4,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
842,842,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
843,843,0,e3d54f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,ff,1,0,0,1
844,844,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e47fe47fe47fe47f,1f,1,1,0,1
845,845,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
846,846,0,e3d5e3d5e3d5e3d5,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4804f0011110000,ff,1,0,0,1
847,847,0,e3d5e3d5e3d5e3d5,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,0
848,848,0,e3d5e3d5e3d5e3d5,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,0
849,849,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,0
850,850,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
851,851,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
852,852,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
853,853,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
854,854,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
855,855,0,e3d5e3d5e3d5e3d5,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
856,856,0,e3d5e3d5e3d5e3d5,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
857,857,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
858,858,0,e3d64f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,ff,1,0,0,1
859,859,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e480e480e480e480,1f,1,1,0,1
860,860,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
861,861,0,e3d6e3d6e3d6e3d6,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4814f0011110000,ff,1,0,0,1
862,862,0,e3d6e3d6e3d6e3d6,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,0
863,863,0,e3d6e3d6e3d6e3d6,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,0
864,864,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,0
865,865,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
866,866,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
867,867,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
868,868,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
869,869,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
870,870,0,e3d6e3d6e3d6e3d6,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
871,871,0,e3d6e3d6e3d6e3d6,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
872,872,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
873,873,0,e3d74f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,ff,1,0,0,1
874,874,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e481e481e481e481,1f,1,1,0,1
875,875,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
876,876,0,e3d7e3d7e3d7e3d7,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4824f0011110000,ff,1,0,0,1
877,877,0,e3d7e3d7e3d7e3d7,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,0
878,878,0,e3d7e3d7e3d7e3d7,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,0
879,879,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,0
880,880,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
881,881,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
882,882,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
883,883,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
884,884,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
885,885,0,e3d7e3d7e3d7e3d7,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
886,886,0,e3d7e3d7e3d7e3d7,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
887,887,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
888,888,0,e3d84f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,ff,1,0,0,1
889,889,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e482e482e482e482,1f,1,1,0,1
890,890,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
891,891,0,e3d8e3d8e3d8e3d8,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4834f0011110000,ff,1,0,0,1
892,892,0,e3d8e3d8e3d8e3d8,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,0
893,893,0,e3d8e3d8e3d8e3d8,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,0
894,894,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,0
895,895,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
896,896,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
897,897,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
898,898,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
899,899,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
900,900,0,e3d8e3d8e3d8e3d8,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
901,901,0,e3d8e3d8e3d8e3d8,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
902,902,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
903,903,0,e3d94f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,ff,1,0,0,1
904,904,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e483e483e483e483,1f,1,1,0,1
905,905,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
906,906,0,e3d9e3d9e3d9e3d9,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4844f0011110000,ff,1,0,0,1
907,907,0,e3d9e3d9e3d9e3d9,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,0
908,908,0,e3d9e3d9e3d9e3d9,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,0
909,909,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,0
910,910,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
911,911,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
912,912,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
913,913,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
914,914,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
915,915,0,e3d9e3d9e3d9e3d9,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
916,916,0,e3d9e3d9e3d9e3d9,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
917,917,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
918,918,0,e3da4f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,ff,1,0,0,1
919,919,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e484e484e484e484,1f,1,1,0,1
920,920,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
921,921,0,e3dae3dae3dae3da,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4854f0011110000,ff,1,0,0,1
922,922,0,e3dae3dae3dae3da,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,0
923,923,0,e3dae3dae3dae3da,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,0
924,924,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,0
925,925,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
926,926,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
927,927,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
928,928,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
929,929,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
930,930,0,e3dae3dae3dae3da,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
931,931,0,e3dae3dae3dae3da,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
932,932,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
933,933,0,e3db4f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,ff,1,0,0,1
934,934,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e485e485e485e485,1f,1,1,0,1
935,935,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
936,936,0,e3dbe3dbe3dbe3db,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4864f0011110000,ff,1,0,0,1
937,937,0,e3dbe3dbe3dbe3db,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,0
938,938,0,e3dbe3dbe3dbe3db,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,0
939,939,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,0
940,940,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
941,941,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
942,942,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
943,943,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
944,944,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
945,945,0,e3dbe3dbe3dbe3db,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
946,946,0,e3dbe3dbe3dbe3db,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
947,947,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
948,948,0,e3dc4f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,ff,1,0,0,1
949,949,0,e3dce3dce3dce3dc,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e486e486e486e486,1f,1,1,0,1
950,950,0,e3dce3dce3dce3dc,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
951,951,0,e3dce3dce3dce3dc,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e4874f0011110000,ff,1,0,0,1
952,952,0,e3dce3dce3dce3dc,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e487e487e487e487,ff,1,0,0,0
953,953,0,e3dce3dce3dce3dc,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e487e487e487e487,ff,1,0,0,0
954,954,0,e3dce3dce3dce3dc,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e487e487e487e487,ff,1,0,0,0
