Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/tx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/rx_axis_tready,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_rx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/n_0_0,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tdata[63:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tkeep[7:0],axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tvalid,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tlast,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tuser,axi_stream_gen_mon_0/axi_stream_interface/bb_tx_axis_tready
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
22,22,0,e39ee39ee39ee39e,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,0
23,23,0,e39ee39ee39ee39e,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,0
24,24,0,e39ee39ee39ee39e,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,0
25,25,0,e39ee39ee39ee39e,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
26,26,0,e39ee39ee39ee39e,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
27,27,0,e39ee39ee39ee39e,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
28,28,0,e39ee39ee39ee39e,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
29,29,0,e39ee39ee39ee39e,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
30,30,0,e39ee39ee39ee39e,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
31,31,0,e39ee39ee39ee39e,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
32,32,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
33,33,0,e39f4f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,ff,1,0,0,1
34,34,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e449e449e449e449,1f,1,1,0,1
35,35,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
36,36,0,e39fe39fe39fe39f,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44a4f0011110000,ff,1,0,0,1
37,37,0,e39fe39fe39fe39f,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,0
38,38,0,e39fe39fe39fe39f,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,0
39,39,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,0
40,40,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
41,41,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
42,42,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
43,43,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
44,44,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
45,45,0,e39fe39fe39fe39f,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
46,46,0,e39fe39fe39fe39f,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
47,47,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
48,48,0,e3a04f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,ff,1,0,0,1
49,49,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ae44ae44ae44a,1f,1,1,0,1
50,50,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
51,51,0,e3a0e3a0e3a0e3a0,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44b4f0011110000,ff,1,0,0,1
52,52,0,e3a0e3a0e3a0e3a0,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,0
53,53,0,e3a0e3a0e3a0e3a0,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,0
54,54,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,0
55,55,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
56,56,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
57,57,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
58,58,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
59,59,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
60,60,0,e3a0e3a0e3a0e3a0,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
61,61,0,e3a0e3a0e3a0e3a0,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
62,62,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
63,63,0,e3a14f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,ff,1,0,0,1
64,64,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44be44be44be44b,1f,1,1,0,1
65,65,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
66,66,0,e3a1e3a1e3a1e3a1,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44c4f0011110000,ff,1,0,0,1
67,67,0,e3a1e3a1e3a1e3a1,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,0
68,68,0,e3a1e3a1e3a1e3a1,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,0
69,69,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,0
70,70,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
71,71,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
72,72,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
73,73,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
74,74,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
75,75,0,e3a1e3a1e3a1e3a1,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
76,76,0,e3a1e3a1e3a1e3a1,1f,1,1,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
77,77,0,0000222200000000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
78,78,0,e3a24f0011110000,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,ff,1,0,0,1
79,79,0,e3a2e3a2e3a2e3a2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44ce44ce44ce44c,1f,1,1,0,1
80,80,0,e3a2e3a2e3a2e3a2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,0000222200000000,ff,1,0,0,1
81,81,0,e3a2e3a2e3a2e3a2,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44d4f0011110000,ff,1,0,0,1
82,82,0,e3a2e3a2e3a2e3a2,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44de44de44de44d,ff,1,0,0,0
83,83,0,e3a2e3a2e3a2e3a2,ff,1,0,0,0,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44de44de44de44d,ff,1,0,0,0
84,84,0,e3a2e3a2e3a2e3a2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44de44de44de44d,ff,1,0,0,0
85,85,0,e3a2e3a2e3a2e3a2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44de44de44de44d,ff,1,0,0,1
86,86,0,e3a2e3a2e3a2e3a2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44de44de44de44d,ff,1,0,0,1
87,87,0,e3a2e3a2e3a2e3a2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44de44de44de44d,ff,1,0,0,1
88,88,0,e3a2e3a2e3a2e3a2,ff,1,0,0,1,0000000000000000,00,0,0,0,1,0000000000000000,00,0,0,0,1,e44de44de44de44d,ff,1,0,0,1
