Sample in Buffer,Sample in Window,TRIGGER,axi_stream_gen_mon_1/rx_axis_tdata[63:0],axi_stream_gen_mon_1/rx_axis_tkeep[7:0],axi_stream_gen_mon_1/rx_axis_tvalid,axi_stream_gen_mon_1/rx_axis_tlast,axi_stream_gen_mon_1/rx_axis_tuser,axi_stream_gen_mon_1/rx_axis_tready,axi_stream_gen_mon_1/tx_axis_tdata[63:0],axi_stream_gen_mon_1/tx_axis_tkeep[7:0],axi_stream_gen_mon_1/tx_axis_tvalid,axi_stream_gen_mon_1/tx_axis_tlast,axi_stream_gen_mon_1/tx_axis_tuser,axi_stream_gen_mon_1/tx_axis_tready_1,axi_stream_gen_mon_1/tx_axis_tdata_lb[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_lb[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_lb,axi_stream_gen_mon_1/tx_axis_tlast_lb,axi_stream_gen_mon_1/tx_axis_tuser_lb,axi_stream_gen_mon_1/rx_axis_tready_lb,axi_stream_gen_mon_1/tx_axis_tdata_g[63:0],axi_stream_gen_mon_1/tx_axis_tkeep_g[7:0],axi_stream_gen_mon_1/tx_axis_tvalid_g,axi_stream_gen_mon_1/tx_axis_tlast_g,axi_stream_gen_mon_1/tx_axis_tuser_g,axi_stream_gen_mon_1/tx_axis_tready
0,0,0,bd0cbd0cbd0cbd0c,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1
1,1,0,bd0cbd0cbd0cbd0c,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1
2,2,0,bd0cbd0cbd0cbd0c,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1
3,3,0,bd0cbd0cbd0cbd0c,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1
4,4,0,bd0cbd0cbd0cbd0c,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd13bd13bd13bd13,ff,1,0,0,1
5,5,0,bd0cbd0cbd0cbd0c,ff,1,0,0,1,bd13bd13bd13bd13,07,1,1,0,1,0000333300000000,ff,1,0,0,1,bd13bd13bd13bd13,07,1,1,0,1
6,6,0,006ac982810cbd0c,07,1,1,1,1,0000222200000000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,0000222200000000,ff,1,0,0,1
7,7,0,5555550000000000,01,0,0,0,1,bd147d0011110000,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd147d0011110000,ff,1,0,0,1
8,8,0,5555550000000000,01,0,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,07,1,1,0,1,bd14bd14bd14bd14,ff,1,0,0,1
9,9,0,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
10,10,0,bd0d7d0011110000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,0
11,11,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,0
12,12,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,0,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,0
13,13,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
14,14,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
15,15,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
16,16,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
17,17,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
18,18,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
19,19,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
20,20,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
21,21,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
22,22,0,bd0dbd0dbd0dbd0d,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1,0000333300000000,ff,1,0,0,1,bd14bd14bd14bd14,ff,1,0,0,1
